Expression,Gene/protein,Expression analysis,Expression value,adj P-value,P-value,Virus,Host,Sample,Condition,Methodology,Approach,Reference
Up,MX1,Fold-change,5.29,-,0.029,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587709"
Up,SECTM1,Fold-change,3.33,-,0.024,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587710"
Up,SERPING1,Fold-change,27.02,-,0.008,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587711"
Up,TNFRSF17,Fold-change,8.92,-,0.005,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587712"
Up,XBP1,Fold-change,3.92,-,0.005,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587713"
Up,CTSL,Fold-change,6.71,-,0.003,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587714"
Up,LY6E,Fold-change,10.52,-,0.022,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587715"
Up,FCER2,Fold-change,8.837,-,0.008,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587716"
Up,LGALS2,Fold-change,7.87,-,0.005,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587717"
Up,IFAD1,Fold-change,4.812,-,0.013,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587718"
Up,CLCF1,Fold-change,2.48,-,0.014,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587719"
Up,CCL4,Fold-change,5.77,-,0.035,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587720"
Up,CCL5,Fold-change,7.33,-,0.004,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587721"
Up,CD7,Fold-change,3.51,-,0.042,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587722"
Up,CD74,Fold-change,2.25,-,0.011,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587723"
Up,CD8B1,Fold-change,5.74,-,0.031,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587724"
Up,CTSS,Fold-change,5.01,-,0.046,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587725"
Up,IL18 RAP,Fold-change,6.66,-,0.041,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587726"
Up,IL1B,Fold-change,9.8,-,0.015,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587727"
Up,ITK,Fold-change,4.5,-,0.047,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587728"
Up,LIF,Fold-change,2.237,-,0.008,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587729"
Up,LST1,Fold-change,9.25,-,0.018,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587730"
Up,TNFSF5,Fold-change,2.24,-,0.015,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587731"
Up,SCAP1,Fold-change,3.37,-,0.016,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587732"
Up,XCL1,Fold-change,2.95,-,0.019,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587733"
Up,TRG,Fold-change,3.01,-,0.031,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587734"
Up,ZAP70,Fold-change,3.03,-,0.011,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587735"
Up,DF,Fold-change,3.77,-,0.042,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587736"
Up,CLEC4A,Fold-change,3.6,-,0.043,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587737"
Up,GNLY,Fold-change,4.9,-,0.038,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587738"
Up,MAL,Fold-change,6.79,-,0.007,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587739"
Up,FTH1,Fold-change,2.2,-,0.009,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587740"
Up,CD26,Fold-change,2.15,-,0.044,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587741"
Up,HLA-DPA1,Fold-change,4.58,-,0.004,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587742"
Up,HLA-DPB1,Fold-change,2.72,-,0.022,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587743"
Up,ICOSLG,Fold-change,2.44,-,0.01,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587744"
Up,IL10RA,Fold-change,3.526,-,0.01,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587745"
Up,IL23A,Fold-change,2.74,-,0.003,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587746"
Up,IL4R,Fold-change,2.58,-,0.032,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587747"
Up,KLRB1,Fold-change,4.72,-,0.037,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587748"
Up,NCR3,Fold-change,3.3135,-,0.002,Dengue (Denv-4 and Denv-3),PBMCs,Clinical,Dengue Hemorragic Fever,Microarray analysis,Transcriptomic,"Ubol S, Masrinoul P, Chaijaruwanich J, Kalayanarooj S, Charoensirisuthikul T, Kasisith J. Differences in global gene expression in peripheral blood mononuclear cells indicate a significant role of the innate responses in progression of dengue fever but not dengue hemorrhagic fever. J Infect Dis. 2008;197(10):1459-1467. doi:10.1086/587749"
Upregulated,GRB2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SAP18,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HDAC1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SART3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ADRM1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,SPART,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,GPS1,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ACSL3,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ESCO2,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,ACTR1A,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,DPH5,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
Upregulated,HYPK,Ratio M/L,-,-,-,Dengue (Denv-2), K562 cell line,In vitro,Protein,LC–MS/MS,Proteomic,"Miao M, Yu F, Wang D, et al. Proteomics Profiling of Host Cell Response via Protein Expression and Phosphorylation upon Dengue Virus Infection. Virol Sin. 2019;34(5):549-562. doi:10.1007/s12250-019-00131-2"
